Fault;Length;Unc;Kinematics
Alhama de Murcia 1;30;3;SS
Alhama de Murcia 2;20;1;SS
Alhama de Murcia 3;8.5;3.5;SS
Alhama de Murcia 4;21;4;SS
Carboneras;140;5;SS
Palomares 1;52.5;7.5;SS
Palomares 2;25;1;SS
Carrascoy 1;16;2;R
Carrascoy 2;23;2;R
Los Tollos;15;2;R
Ventas Zafarraya;23;1;N
